Date,B120BP,B120,Q120,TA2J6500,Q115,Q2100H,Q3015
2016-06-07,4300,439,16227,10,11524,3,0
2016-06-08,0,0,24,0,0,0,0
2016-06-09,4089,861,11668,12,2428,144,0
2016-06-10,2507,1398,9589,11,1258,30,0
2016-06-11,0,0,0,0,0,0,0
2016-06-12,3584,1151,18585,28,6831,26,0
2016-06-13,3249,1719,16276,125,12393,61,0
2016-06-14,4328,919,15892,44,3579,464,0
2016-06-15,2642,1656,10254,44,4368,72,480
2016-06-16,5495,1529,10194,14,3445,0,768
2016-06-17,4057,3018,8939,84,1816,3,0
2016-06-18,0,0,30,6,0,0,0
2016-06-19,0,0,0,0,0,0,0
2016-06-20,3059,343,9839,85,5692,691,480
2016-06-21,3155,1575,10052,26,3876,902,120
2016-06-22,3174,1491,14531,29,6637,45,148
2016-06-23,3335,364,9032,4,4108,61,0
2016-06-24,3142,491,9119,9,3743,52,192
2016-06-25,0,0,0,0,0,0,0
2016-06-26,0,0,0,0,0,0,0
2016-06-27,4604,1823,12270,27,5720,287,0
2016-06-28,3169,648,6603,126,4328,114,0
2016-06-29,3125,759,13102,16,7269,63,0
2016-06-30,3735,1420,10409,152,2451,25,1344
2016-07-01,1330,1377,10491,32,5368,98,0
2016-07-02,0,0,0,0,0,0,0
2016-07-03,3067,396,8309,21,2284,114,0
2016-07-04,3454,1521,10024,94,4333,111,1200
2016-07-05,16,0,0,0,0,0,0
2016-07-06,3283,803,8134,34,3005,372,36
2016-07-07,3731,2046,19495,45,9507,45,1632
2016-07-08,0,0,0,0,0,0,0
2016-07-09,2730,583,22742,227,8178,59,0
2016-07-10,2636,14530,16248,162,2777,35,252
2016-07-11,4269,854,4749,6,2271,204,0
2016-07-12,2343,1078,15514,18,4147,114,384
2016-07-13,3647,811,9075,66,3976,87,240
2016-07-14,3845,923,11061,31,3204,271,0
2016-07-15,3793,944,7134,41,6629,47,0
2016-07-16,0,0,0,0,0,0,0
2016-07-17,0,0,49,0,0,0,0
2016-07-18,3813,1433,15567,12,10526,24,0
2016-07-19,3276,341,10544,56,2340,8,0
2016-07-20,3544,1487,13404,105,4932,1,148
2016-07-21,2865,1875,12670,74,4196,1008,960
2016-07-22,3607,670,11687,26,3799,253,0
2016-07-23,0,50,0,18,0,0,0
2016-07-24,0,0,0,0,0,0,0
2016-07-25,3761,718,9564,132,5005,52,0
2016-07-26,3803,159,5866,53,1606,0,0
2016-07-27,3403,542,11352,48,6116,156,8
2016-07-28,1790,854,12813,312,6888,3,1152
2016-07-29,0,384,7116,24,3440,74,0
2016-07-30,0,0,0,0,0,0,0
2016-07-31,0,0,0,0,0,0,0
2016-08-01,4627,454,7320,18,1613,59,60
2016-08-02,4310,3366,13035,20,4738,122,0
2016-08-03,2830,468,15755,25,5302,404,0
2016-08-04,3139,146,12703,34,5716,116,144
2016-08-05,0,0,0,0,0,0,0
2016-08-06,4266,611,16852,64,4870,10,192
2016-08-07,2758,5475,12293,123,3319,19,48
2016-08-08,2871,1534,8394,16,3233,267,0
2016-08-09,3598,1685,12308,117,11527,44,1968
2016-08-10,0,0,0,0,0,0,0
2016-08-11,4378,264,9774,87,1942,351,48
